temp,feels_like,temp_min,temp_max,pressure,humidity,sea_level,grnd_level,time
87.58,95.16,82.24,90.16,1005,62,1005,1001,20-Jul-2025_20-41-31
87.21,94.78,82.24,90.12,1005,63,1005,1001,20-Jul-2025_20-52-10
87.21,94.78,82.24,90.12,1005,63,1005,1001,20-Jul-2025_20-54-42
86.88,94.06,82.24,89.33,1004,63,1004,1001,20-Jul-2025_21-12-12
86.16,93.34,82.24,89.01,1004,65,1004,1001,20-Jul-2025_21-24-41
84.65,90.86,80.85,87.33,1004,67,1004,1001,20-Jul-2025_21-43-51
83.89,89.92,79.05,85.32,1004,69,1004,1001,20-Jul-2025_22-14-56
82.22,85.75,75.15,83.55,1005,65,1005,1002,20-Jul-2025_22-35-27
82.35,86.86,74.14,82.51,1005,69,1005,1002,20-Jul-2025_22-48-11
79.75,79.75,74.14,80.71,1004,77,1004,1002,20-Jul-2025_23-09-46
74.68,75.74,71.85,77.58,1005,83,1005,1002,20-Jul-2025_23-44-16
74.8,75.83,72.05,77.88,1005,82,1005,1002,20-Jul-2025_23-46-37
71.85,72.73,69.53,73.35,1006,85,1006,1002,21-Jul-2025_02-18-04
69.96,70.61,67.21,71.71,1007,84,1007,1003,21-Jul-2025_03-53-26
68.94,69.48,66.29,70.45,1007,84,1007,1003,21-Jul-2025_04-37-16
68.36,68.85,66.15,70,1007,84,1007,1003,21-Jul-2025_05-02-21
67.35,67.73,65.26,69.22,1007,84,1007,1003,21-Jul-2025_05-37-56
67.15,67.48,64.67,69.01,1007,83,1007,1003,21-Jul-2025_05-50-34
65.95,66.15,63.66,67.44,1007,83,1007,1003,21-Jul-2025_06-38-54
65.82,66,63.5,67.44,1007,83,1007,1003,21-Jul-2025_06-59-43
65.44,65.59,63.27,67.21,1007,83,1007,1003,21-Jul-2025_07-26-46
64.83,64.96,62.67,66.65,1007,84,1007,1003,21-Jul-2025_07-46-10
64.83,64.96,62.35,66.45,1007,84,1007,1003,21-Jul-2025_08-24-25
64.62,64.72,62.35,66.15,1008,84,1008,1004,21-Jul-2025_08-44-12
64.58,64.63,62.28,66.15,1008,83,1008,1004,21-Jul-2025_09-16-10
63.7,63.66,60.91,65.44,1008,83,1008,1005,21-Jul-2025_09-43-51
63.63,63.54,60.91,65.44,1008,82,1008,1005,21-Jul-2025_10-11-07
64.51,64.51,61.18,66.07,1009,82,1009,1005,21-Jul-2025_10-32-07
64.78,64.76,61.66,66.45,1009,81,1009,1005,21-Jul-2025_10-53-42
65.82,65.91,62.67,67.21,1009,81,1009,1005,21-Jul-2025_11-14-33
67.39,67.53,64.15,69.12,1010,79,1010,1006,21-Jul-2025_11-36-02
68.14,68.32,64.65,70.11,1010,78,1010,1006,21-Jul-2025_11-52-45
70.2,70.45,66.25,72.37,1009,75,1009,1006,21-Jul-2025_12-27-08
73.08,73.13,70.14,75.15,1010,65,1010,1006,21-Jul-2025_13-22-42
73.33,73.36,71.15,75.43,1011,64,1011,1006,21-Jul-2025_13-52-10
74.25,74.25,71.85,76.37,1011,61,1011,1006,21-Jul-2025_14-21-39
74.37,74.34,72.23,76.46,1011,60,1011,1007,21-Jul-2025_14-35-58
75.24,75.24,72.84,77.5,1011,59,1011,1007,21-Jul-2025_15-02-54
75.65,75.6,73.65,78.39,1011,57,1011,1007,21-Jul-2025_15-30-00
75.83,75.74,73.65,78.44,1011,56,1011,1007,21-Jul-2025_15-45-42
76.35,76.28,74.08,79.07,1011,55,1011,1007,21-Jul-2025_16-01-30
76.55,76.39,74.66,79,1011,53,1011,1007,21-Jul-2025_16-42-03
77.07,76.93,74.71,79.14,1011,52,1011,1007,21-Jul-2025_16-59-40
77.23,77,75,79.18,1011,50,1011,1007,21-Jul-2025_17-27-12
77.58,77.34,75,80.01,1011,49,1011,1007,21-Jul-2025_17-36-27
78.24,77.94,75.31,80.15,1011,46,1011,1007,21-Jul-2025_17-56-24
78.3,77.85,75.67,80.33,1011,43,1011,1007,21-Jul-2025_18-34-15
78.33,77.85,75.67,80.53,1011,42,1011,1007,21-Jul-2025_18-50-29
78.24,77.7,75.85,80.53,1012,41,1012,1007,21-Jul-2025_19-17-32
78.66,78.1,75.99,81.09,1011,40,1011,1007,21-Jul-2025_19-32-02
78.33,77.74,75.85,81.09,1011,40,1011,1007,21-Jul-2025_19-45-49
78.26,77.67,75.99,80.51,1012,40,1012,1007,21-Jul-2025_20-06-14
78.39,77.76,76.08,80.89,1012,39,1012,1007,21-Jul-2025_20-29-24
78.35,77.72,75.85,80.51,1012,39,1012,1007,21-Jul-2025_20-50-40
78.03,77.31,75.15,80.1,1012,38,1012,1007,21-Jul-2025_21-10-40
77.77,77.09,75.09,79.52,1012,39,1012,1007,21-Jul-2025_21-28-09
